Typ;Kategorie;Text;Anzahl Antworten
W;Basis;110\% geben;
W;Basis;200 Jahre Sklaverei.;
W;Basis;``Ich liebe dich'' sagen.;
W;Basis;Ackerbau.;
W;Basis;Aktives Zuhören.;
W;Basis;Alkoholismus.;
W;Basis;Alten Leuten winken.;
W;Basis;An Dingen lecken, um sie für sich zu beanspruchen.;
W;Basis;Anfangen, zu singen und zu tanzen.;
W;Basis;Authentische mexikanische Küche.;
W;Basis;Balzverhalten.;
W;Basis;Bei den Special Olympics schummeln.;
W;Basis;Bei der Erwähnung von Hutus und Tutsis unkontrollierbar kichern müssen.;
W;Basis;Benutzte Unterhosen.;
W;Basis;Berater.;
W;Basis;Betagte japanische Männer.;
W;Basis;Bienen?;
W;Basis;Bill Nye, dieser Wissenschafts-Heini.;
W;Basis;Bis nach der Hochzeit warten.;
W;Basis;Burschen ohne Ärsche.;
W;Basis;Das Ende der Straße.;
W;Basis;Das Herz eines Kindes.;
W;Basis;Das Leben eines Piraten.;
W;Basis;Das letzte noch lebende Bison essen.;
W;Basis;Das Licht einer Milliarde Sonnen.;
W;Basis;Das Reiner-Calmund-Qualitäts-Siegel.;
W;Basis;Das Richtige tun.;
W;Basis;Das Verletzen unserer grundlegensten Menschenrechte.;
W;Basis;Das Wunder der Geburt.;
W;Basis;Dem Sonnen- untergang entgegenreiten.;
W;Basis;Den Kindergeburtstag mit 2 Kanistern Benzin beenden.;
W;Basis;Der amerikanische Traum.;
W;Basis;Der Erklär-Bär-Blick.;
W;Basis;Der Geruch alter Leute.;
W;Basis;Der Ku-Klux-Klan.;
W;Basis;Der Milchmann.;
W;Basis;Der Rhythmus Afrikas.;
W;Basis;Der unausweichliche Hitzetod des Universums.;
W;Basis;Die Hosen runterlassen.;
W;Basis;Die Kunst der Verführung.;
W;Basis;Die Leiden einer Frau.;
W;Basis;Die Placenta.;
W;Basis;Die Quoten-Minderheit.;
W;Basis;Die unendliche menschliche Dummheit.;
W;Basis;Die unsichtbare Hand.;
W;Basis;Die wahre Bedeutung von Weihnachten.;
W;Basis;Die Wunder des Orients.;
W;Basis;Drive-by shooting.;
W;Basis;DU MUSST WEITERE MASTEN KONSTRUIEREN.;
W;Basis;Dunkle und mysteriöse Mächte, die man nicht kontrollieren kann.;
W;Basis;Durch einen Roboter ersetzt werden.;
W;Basis;Echte zwischenmenschliche Beziehungen.;
W;Basis;Ehefrauliche Pflichten.;
W;Basis;Eier.;
W;Basis;Ein Arsch mit Ohren sein.;
W;Basis;Ein Arschloch zu Kindern sein.;
W;Basis;Ein ausgewogenes Frühstück.;
W;Basis;Ein bisschen Ruhe und Frieden, verdammt nochmal.;
W;Basis;Ein chinesisches Gymnastikteam.;
W;Basis;Ein Ei legen.;
W;Basis;Ein Eimer voller Fischköpfe.;
W;Basis;Ein Falke mit einer Mütze auf dem Kopf.;
W;Basis;Ein Gehirntumor.;
W;Basis;Ein geschmackvolles Dekolleté.;
W;Basis;Ein Glassdach.;
W;Basis;Ein gottverdammter Zauberer sein.;
W;Basis;Ein kleines Pferd.;
W;Basis;Ein Leben voller Traurigkeit.;
W;Basis;Ein M16 Sturmgewehr.;
W;Basis;Ein Mann mittleren Alters in Rollschuhen.;
W;Basis;Ein merkwürdiger Bruder.;
W;Basis;Ein Mikroschwein mit einem Regenmantel und Gummiestiefeln.;
W;Basis;Ein Moment der Stille.;
W;Basis;Ein Nerd-Spasti.;
W;Basis;Ein Pantomime, der einen Herzinfarkt hat.;
W;Basis;Ein Ratschlag von einem weisen alten Mann.;
W;Basis;Ein rauchender Affe.;
W;Basis;Ein rechtschaffender Cop, der nichts zu verlieren hat;
W;Basis;Ein Sack voller magischer Bohnen.;
W;Basis;Ein scharfer Frühstücks-Burrito.;
W;Basis;Ein schmutziges Mundwerk.;
W;Basis;Ein Stamm von Kriegerinnen.;
W;Basis;Ein Terroranschlag am 1. April.;
W;Basis;Ein trübseliger Zoo-Löwe.;
W;Basis;Ein törichter Mord.;
W;Basis;Ein verirrtes Schamhaar.;
W;Basis;Ein wirklich cooler Hut.;
W;Basis;Ein Zigeunerfluch.;
W;Basis;Ein übergroßer Lolli.;
